num,nom,prenom,mail,parcours,UE1,UE2,UE3,UE4,UE5,UE6,UE7,UE8,UE9,UE10
21115269,,,,SESI,archi2,vlsi1,mobj1,esa1,signal2,,,,,
28707831,,,,SESI,archi2,vlsi1,mobj1,esa1,signal2,,,,,
21319752,,,,SESI,archi2,vlsi1,mobj1,sc2,signal2,,,,,
21304469,,,,SESI,mobj1,signal2,,,,,,,,
21310245,,,,SESI,archi2,pscr2,,,,,,,,
21107747,,,,STL,algav1,dlp1,ouv_ang1,lrc3,ares3,,,,,
21406000,,,,STL,algav1,dlp1,ouv_ang2,model1,complex1,,,,,
21401043,,,,STL,algav1,dlp2,ouv_ang2,mlbda1,complex2,,,,,
21417054,,,,STL,algav1,dlp2,ouv_ang1,mlbda1,complex2,,,,,
21417088,,,,STL,algav1,dlp2,ouv_ang1,mlbda2,lrc3,,,,,
21409960,,,,STL,algav1,dlp1,ouv_ang1,mlbda2,lrc3,,,,,
21402779,,,,STL,algav1,dlp2,ouv_ang2,mlbda1,lrc3,,,,,
28604611,,,,STL,algav1,dlp2,ouv_ang2,mlbda1,lrc3,,,,,
28608482,,,,STL,algav1,dlp2,ouv_ang1,mlbda1,lrc3,,,,,
21416091,,,,STL,algav1,dlp2,ouv_ang2,mlbda1,lrc3,,,,,
21418006,,,,STL,algav1,dlp2,ouv_ang1,mlbda1,lrc3,,,,,
21402345,,,,STL,algav1,dlp2,ouv_ang1,ares3,lrc4,,,,,
21113270,,,,STL,algav1,dlp1,ouv_ang2,mlbda1,lrc4,,,,,
21409957,,,,STL,algav1,dlp2,ouv_ang1,mlbda2,lrc4,,,,,
28706938,,,,STL,algav2,dlp2,ouv_ang2,pscr1,mlbda1,,,,,
21103680,,,,STL,algav1,dlp1,ouv_ang1,lrc4,mlbda1,,,,,
21416343,,,,STL,algav1,dlp2,ouv_ang1,lrc3,mlbda1,,,,,
21416247,,,,STL,algav2,dlp1,ouv_ang2,pscr1,mlbda1,,,,,
21402566,,,,STL,algav1,dlp2,ouv_ang2,lrc3,mlbda1,,,,,
21414794,,,,STL,algav1,dlp2,ouv_ang1,lrc3,mlbda2,,,,,
21414764,,,,STL,algav1,dlp1,ouv_ang2,lrc4,mlbda2,,,,,
21407345,,,,STL,algav1,dlp1,ouv_ang2,lrc3,mlbda2,,,,,
21401699,,,,STL,algav1,dlp2,ouv_ang1,complex2,model1,,,,,
21111116,,,,STL,algav1,dlp1,ouv_ang1,complex2,model1,,,,,
21400635,,,,STL,algav2,dlp2,ouv_ang2,pscr1,model1,,,,,
21400644,,,,STL,algav2,dlp2,ouv_ang2,pscr1,noyau3,,,,,
21401861,,,,STL,algav2,dlp1,ouv_ang2,pscr1,noyau3,,,,,
21304592,,,,STL,algav2,dlp1,ouv_ang2,pscr1,noyau3,,,,,
21400303,,,,STL,algav2,dlp1,ouv_ang2,pscr1,noyau3,,,,,
21401941,,,,STL,algav2,dlp1,ouv_ang2,pscr1,noyau3,,,,,
21400333,,,,STL,algav2,dlp2,ouv_ang2,pscr1,noyau3,,,,,
21414823,,,,STL,algav2,dlp1,ouv_ang1,pscr1,noyau3,,,,,
21412125,,,,STL,algav2,dlp2,ouv_ang1,pscr1,noyau3,,,,,
21414955,,,,STL,algav2,dlp1,ouv_ang2,pscr1,noyau3,,,,,
28723564,,,,STL,algav2,dlp2,ouv_ang1,pscr1,noyau3,,,,,
21403871,,,,STL,algav2,dlp2,ouv_ang1,pscr1,noyau3,,,,,
21414555,,,,STL,algav2,dlp1,ouv_ang1,model1,pscr1,,,,,
21110908,,,,STL,algav2,dlp2,ouv_ang1,noyau3,pscr1,,,,,
28723873,,,,STL,algav2,dlp2,ouv_ang2,noyau3,pscr1,,,,,
21402510,,,,STL,algav2,dlp2,ouv_ang1,noyau3,pscr1,,,,,
21113585,,,,STL,algav2,dlp1,ouv_ang1,noyau3,pscr1,,,,,
21308054,,,,STL,algav1,ouv_ang1,mlbda1,lrc3,,,,,,
28705179,,,,STL,algav1,dlp1,mlbda3,,,,,,,
28707756,,,,STL,algav2,ouv_ang2,model1,pscr1,,,,,,
3808150,,,,STL,algav2,dlp2,pscr2,noyau2,,,,,,
21317509,,,,STL,dlp1,lrc4,,,,,,,,
